latin_species,order,family,family_english,english,subspecies
NA,NA,NA,RATITES,NA,NA
NA,Struthioniformes,NA,RATITES,NA,NA
NA,Struthioniformes,Struthionidae,Ostriches,NA,NA
NA,Struthioniformes,Struthionidae,Ostriches,NA,NA
Struthio camelus,Struthioniformes,Struthionidae,Ostriches,Common Ostrich,NA
Struthio camelus,Struthioniformes,Struthionidae,Ostriches,Common Ostrich,syriacus †
Struthio camelus,Struthioniformes,Struthionidae,Ostriches,Common Ostrich,camelus
Struthio camelus,Struthioniformes,Struthionidae,Ostriches,Common Ostrich,massaicus
Struthio camelus,Struthioniformes,Struthionidae,Ostriches,Common Ostrich,australis
Struthio molybdophanes,Struthioniformes,Struthionidae,Ostriches,Somali Ostrich,australis
Struthio molybdophanes,Rheiformes,Struthionidae,Ostriches,Somali Ostrich,australis
Struthio molybdophanes,Rheiformes,Rheidae,Rheas,Somali Ostrich,australis
Rhea molybdophanes,Rheiformes,Rheidae,Rheas,Somali Ostrich,australis
Rhea americana,Rheiformes,Rheidae,Rheas,Greater Rhea,australis
Rhea americana,Rheiformes,Rheidae,Rheas,Greater Rhea,americana
Rhea americana,Rheiformes,Rheidae,Rheas,Greater Rhea,intermedia
Rhea americana,Rheiformes,Rheidae,Rheas,Greater Rhea,nobilis
Rhea americana,Rheiformes,Rheidae,Rheas,Greater Rhea,araneipes
Rhea americana,Rheiformes,Rheidae,Rheas,Greater Rhea,albescens
Rhea pennata,Rheiformes,Rheidae,Rheas,Lesser Rhea,albescens
Rhea pennata,Rheiformes,Rheidae,Rheas,Lesser Rhea,garleppi
Rhea pennata,Rheiformes,Rheidae,Rheas,Lesser Rhea,tarapacensis
Rhea pennata,Rheiformes,Rheidae,Rheas,Lesser Rhea,pennata
Rhea pennata,Apterygiformes,Rheidae,Rheas,Lesser Rhea,pennata
Rhea pennata,Apterygiformes,Apterygidae,Kiwis,Lesser Rhea,pennata
Apteryx pennata,Apterygiformes,Apterygidae,Kiwis,Lesser Rhea,pennata
Apteryx australis,Apterygiformes,Apterygidae,Kiwis,Southern Brown Kiwi,pennata
Apteryx australis,Apterygiformes,Apterygidae,Kiwis,Southern Brown Kiwi,australis
Apteryx australis,Apterygiformes,Apterygidae,Kiwis,Southern Brown Kiwi,lawryi
Apteryx mantelli,Apterygiformes,Apterygidae,Kiwis,North Island Brown Kiwi,lawryi
Apteryx rowi,Apterygiformes,Apterygidae,Kiwis,Okarito Kiwi,lawryi
Apteryx owenii,Apterygiformes,Apterygidae,Kiwis,Little Spotted Kiwi,lawryi
Apteryx haastii,Apterygiformes,Apterygidae,Kiwis,Great Spotted Kiwi,lawryi
Apteryx haastii,Casuariiformes,Apterygidae,Kiwis,Great Spotted Kiwi,lawryi
Apteryx haastii,Casuariiformes,Casuariidae,"Cassowaries, Emu",Great Spotted Kiwi,lawryi
Casuarius haastii,Casuariiformes,Casuariidae,"Cassowaries, Emu",Great Spotted Kiwi,lawryi
Casuarius casuarius,Casuariiformes,Casuariidae,"Cassowaries, Emu",Southern Cassowary,lawryi
Casuarius bennetti,Casuariiformes,Casuariidae,"Cassowaries, Emu",Dwarf Cassowary,lawryi
Casuarius bennetti,Casuariiformes,Casuariidae,"Cassowaries, Emu",Dwarf Cassowary,westermanni
Casuarius bennetti,Casuariiformes,Casuariidae,"Cassowaries, Emu",Dwarf Cassowary,bennetti
Casuarius unappendiculatus,Casuariiformes,Casuariidae,"Cassowaries, Emu",Northern Cassowary,bennetti
Dromaius unappendiculatus,Casuariiformes,Casuariidae,"Cassowaries, Emu",Northern Cassowary,bennetti
Dromaius novaehollandiae,Casuariiformes,Casuariidae,"Cassowaries, Emu",Emu,bennetti
Dromaius novaehollandiae,Casuariiformes,Casuariidae,"Cassowaries, Emu",Emu,novaehollandiae
Dromaius novaehollandiae,Casuariiformes,Casuariidae,"Cassowaries, Emu",Emu,diemenensis †
Dromaius novaehollandiae,Casuariiformes,Casuariidae,"Cassowaries, Emu",Emu,minor †
Dromaius novaehollandiae,Casuariiformes,Casuariidae,"Cassowaries, Emu",Emu,baudinianus †
Dromaius novaehollandiae,Tinamiformes,Casuariidae,"Cassowaries, Emu",Emu,baudinianus †
Dromaius novaehollandiae,Tinamiformes,Tinamidae,Tinamous,Emu,baudinianus †
Tinamus novaehollandiae,Tinamiformes,Tinamidae,Tinamous,Emu,baudinianus †
Tinamus tao,Tinamiformes,Tinamidae,Tinamous,Grey Tinamou,baudinianus †
Tinamus tao,Tinamiformes,Tinamidae,Tinamous,Grey Tinamou,larensis
Tinamus tao,Tinamiformes,Tinamidae,Tinamous,Grey Tinamou,septentrionalis
Tinamus tao,Tinamiformes,Tinamidae,Tinamous,Grey Tinamou,tao
Tinamus tao,Tinamiformes,Tinamidae,Tinamous,Grey Tinamou,kleei
Tinamus solitarius,Tinamiformes,Tinamidae,Tinamous,Solitary Tinamou,kleei
Tinamus osgoodi,Tinamiformes,Tinamidae,Tinamous,Black Tinamou,kleei
Tinamus osgoodi,Tinamiformes,Tinamidae,Tinamous,Black Tinamou,hershkovitzi
Tinamus osgoodi,Tinamiformes,Tinamidae,Tinamous,Black Tinamou,osgoodi
Tinamus major,Tinamiformes,Tinamidae,Tinamous,Great Tinamou,osgoodi
Tinamus major,Tinamiformes,Tinamidae,Tinamous,Great Tinamou,robustus
Tinamus major,Tinamiformes,Tinamidae,Tinamous,Great Tinamou,percautus
Tinamus major,Tinamiformes,Tinamidae,Tinamous,Great Tinamou,fuscipennis
Tinamus major,Tinamiformes,Tinamidae,Tinamous,Great Tinamou,brunneiventris
Tinamus major,Tinamiformes,Tinamidae,Tinamous,Great Tinamou,castaneiceps
Tinamus major,Tinamiformes,Tinamidae,Tinamous,Great Tinamou,saturatus
Tinamus major,Tinamiformes,Tinamidae,Tinamous,Great Tinamou,zuliensis
Tinamus major,Tinamiformes,Tinamidae,Tinamous,Great Tinamou,latifrons
Tinamus major,Tinamiformes,Tinamidae,Tinamous,Great Tinamou,major
Tinamus major,Tinamiformes,Tinamidae,Tinamous,Great Tinamou,serratus
Tinamus major,Tinamiformes,Tinamidae,Tinamous,Great Tinamou,olivascens
Tinamus major,Tinamiformes,Tinamidae,Tinamous,Great Tinamou,peruvianus
Tinamus guttatus,Tinamiformes,Tinamidae,Tinamous,White-throated Tinamou,peruvianus
Nothocercus guttatus,Tinamiformes,Tinamidae,Tinamous,White-throated Tinamou,peruvianus
Nothocercus bonapartei,Tinamiformes,Tinamidae,Tinamous,Highland Tinamou,peruvianus
Nothocercus bonapartei,Tinamiformes,Tinamidae,Tinamous,Highland Tinamou,frantzii
Nothocercus bonapartei,Tinamiformes,Tinamidae,Tinamous,Highland Tinamou,bonapartei
Nothocercus bonapartei,Tinamiformes,Tinamidae,Tinamous,Highland Tinamou,intercedens
Nothocercus bonapartei,Tinamiformes,Tinamidae,Tinamous,Highland Tinamou,discrepans
Nothocercus bonapartei,Tinamiformes,Tinamidae,Tinamous,Highland Tinamou,plumbeiceps
Nothocercus julius,Tinamiformes,Tinamidae,Tinamous,Tawny-breasted Tinamou,plumbeiceps
Nothocercus nigrocapillus,Tinamiformes,Tinamidae,Tinamous,Hooded Tinamou,plumbeiceps
Nothocercus nigrocapillus,Tinamiformes,Tinamidae,Tinamous,Hooded Tinamou,cadwaladeri
Nothocercus nigrocapillus,Tinamiformes,Tinamidae,Tinamous,Hooded Tinamou,nigrocapillus
Crypturellus nigrocapillus,Tinamiformes,Tinamidae,Tinamous,Hooded Tinamou,nigrocapillus
Crypturellus berlepschi,Tinamiformes,Tinamidae,Tinamous,Berlepsch's Tinamou,nigrocapillus
Crypturellus cinereus,Tinamiformes,Tinamidae,Tinamous,Cinereous Tinamou,nigrocapillus
Crypturellus soui,Tinamiformes,Tinamidae,Tinamous,Little Tinamou,nigrocapillus
Crypturellus soui,Tinamiformes,Tinamidae,Tinamous,Little Tinamou,meserythrus
Crypturellus soui,Tinamiformes,Tinamidae,Tinamous,Little Tinamou,modestus
Crypturellus soui,Tinamiformes,Tinamidae,Tinamous,Little Tinamou,capnodes
Crypturellus soui,Tinamiformes,Tinamidae,Tinamous,Little Tinamou,poliocephalus
Crypturellus soui,Tinamiformes,Tinamidae,Tinamous,Little Tinamou,panamensis
Crypturellus soui,Tinamiformes,Tinamidae,Tinamous,Little Tinamou,mustelinus
Crypturellus soui,Tinamiformes,Tinamidae,Tinamous,Little Tinamou,soui
Crypturellus soui,Tinamiformes,Tinamidae,Tinamous,Little Tinamou,andrei
Crypturellus soui,Tinamiformes,Tinamidae,Tinamous,Little Tinamou,caucae
Crypturellus soui,Tinamiformes,Tinamidae,Tinamous,Little Tinamou,harterti
Crypturellus soui,Tinamiformes,Tinamidae,Tinamous,Little Tinamou,caquetae
Crypturellus soui,Tinamiformes,Tinamidae,Tinamous,Little Tinamou,nigriceps
Crypturellus soui,Tinamiformes,Tinamidae,Tinamous,Little Tinamou,albigularis
Crypturellus soui,Tinamiformes,Tinamidae,Tinamous,Little Tinamou,inconspicuus
Crypturellus ptaritepui,Tinamiformes,Tinamidae,Tinamous,Tepui Tinamou,inconspicuus
Crypturellus obsoletus,Tinamiformes,Tinamidae,Tinamous,Brown Tinamou,inconspicuus
Crypturellus obsoletus,Tinamiformes,Tinamidae,Tinamous,Brown Tinamou,cerviniventris
Crypturellus obsoletus,Tinamiformes,Tinamidae,Tinamous,Brown Tinamou,knoxi
Crypturellus obsoletus,Tinamiformes,Tinamidae,Tinamous,Brown Tinamou,castaneus
Crypturellus obsoletus,Tinamiformes,Tinamidae,Tinamous,Brown Tinamou,ochraceiventris
Crypturellus obsoletus,Tinamiformes,Tinamidae,Tinamous,Brown Tinamou,traylori
Crypturellus obsoletus,Tinamiformes,Tinamidae,Tinamous,Brown Tinamou,punensis
Crypturellus obsoletus,Tinamiformes,Tinamidae,Tinamous,Brown Tinamou,griseiventris
Crypturellus obsoletus,Tinamiformes,Tinamidae,Tinamous,Brown Tinamou,hypochraceus
Crypturellus obsoletus,Tinamiformes,Tinamidae,Tinamous,Brown Tinamou,obsoletus
Crypturellus undulatus,Tinamiformes,Tinamidae,Tinamous,Undulated Tinamou,obsoletus
Crypturellus undulatus,Tinamiformes,Tinamidae,Tinamous,Undulated Tinamou,manapiare
Crypturellus undulatus,Tinamiformes,Tinamidae,Tinamous,Undulated Tinamou,simplex
Crypturellus undulatus,Tinamiformes,Tinamidae,Tinamous,Undulated Tinamou,yapura
Crypturellus undulatus,Tinamiformes,Tinamidae,Tinamous,Undulated Tinamou,adspersus
Crypturellus undulatus,Tinamiformes,Tinamidae,Tinamous,Undulated Tinamou,vermiculatus
Crypturellus undulatus,Tinamiformes,Tinamidae,Tinamous,Undulated Tinamou,undulatus
Crypturellus transfasciatus,Tinamiformes,Tinamidae,Tinamous,Pale-browed Tinamou,undulatus
Crypturellus strigulosus,Tinamiformes,Tinamidae,Tinamous,Brazilian Tinamou,undulatus
Crypturellus duidae,Tinamiformes,Tinamidae,Tinamous,Grey-legged Tinamou,undulatus
Crypturellus erythropus,Tinamiformes,Tinamidae,Tinamous,Red-legged Tinamou,undulatus
Crypturellus erythropus,Tinamiformes,Tinamidae,Tinamous,Red-legged Tinamou,cursitans
Crypturellus erythropus,Tinamiformes,Tinamidae,Tinamous,Red-legged Tinamou,idoneus
Crypturellus erythropus,Tinamiformes,Tinamidae,Tinamous,Red-legged Tinamou,columbianus
Crypturellus erythropus,Tinamiformes,Tinamidae,Tinamous,Red-legged Tinamou,saltuarius
Crypturellus erythropus,Tinamiformes,Tinamidae,Tinamous,Red-legged Tinamou,spencei
Crypturellus erythropus,Tinamiformes,Tinamidae,Tinamous,Red-legged Tinamou,margaritae
Crypturellus erythropus,Tinamiformes,Tinamidae,Tinamous,Red-legged Tinamou,erythropus
Crypturellus noctivagus,Tinamiformes,Tinamidae,Tinamous,Yellow-legged Tinamou,erythropus
Crypturellus noctivagus,Tinamiformes,Tinamidae,Tinamous,Yellow-legged Tinamou,zabele
Crypturellus noctivagus,Tinamiformes,Tinamidae,Tinamous,Yellow-legged Tinamou,noctivagus
Crypturellus atrocapillus,Tinamiformes,Tinamidae,Tinamous,Black-capped Tinamou,noctivagus
Crypturellus atrocapillus,Tinamiformes,Tinamidae,Tinamous,Black-capped Tinamou,atrocapillus
Crypturellus atrocapillus,Tinamiformes,Tinamidae,Tinamous,Black-capped Tinamou,garleppi
Crypturellus cinnamomeus,Tinamiformes,Tinamidae,Tinamous,Thicket Tinamou,garleppi
Crypturellus cinnamomeus,Tinamiformes,Tinamidae,Tinamous,Thicket Tinamou,occidentalis
Crypturellus cinnamomeus,Tinamiformes,Tinamidae,Tinamous,Thicket Tinamou,mexicanus
Crypturellus cinnamomeus,Tinamiformes,Tinamidae,Tinamous,Thicket Tinamou,soconuscensis
Crypturellus cinnamomeus,Tinamiformes,Tinamidae,Tinamous,Thicket Tinamou,vicinior
Crypturellus cinnamomeus,Tinamiformes,Tinamidae,Tinamous,Thicket Tinamou,sallaei
Crypturellus cinnamomeus,Tinamiformes,Tinamidae,Tinamous,Thicket Tinamou,goldmani
Crypturellus cinnamomeus,Tinamiformes,Tinamidae,Tinamous,Thicket Tinamou,cinnamomeus
Crypturellus cinnamomeus,Tinamiformes,Tinamidae,Tinamous,Thicket Tinamou,delattrii
Crypturellus cinnamomeus,Tinamiformes,Tinamidae,Tinamous,Thicket Tinamou,praepes
Crypturellus boucardi,Tinamiformes,Tinamidae,Tinamous,Slaty-breasted Tinamou,praepes
Crypturellus boucardi,Tinamiformes,Tinamidae,Tinamous,Slaty-breasted Tinamou,boucardi
Crypturellus boucardi,Tinamiformes,Tinamidae,Tinamous,Slaty-breasted Tinamou,costaricensis
Crypturellus kerriae,Tinamiformes,Tinamidae,Tinamous,Choco Tinamou,costaricensis
Crypturellus variegatus,Tinamiformes,Tinamidae,Tinamous,Variegated Tinamou,costaricensis
Crypturellus brevirostris,Tinamiformes,Tinamidae,Tinamous,Rusty Tinamou,costaricensis
Crypturellus bartletti,Tinamiformes,Tinamidae,Tinamous,Bartlett's Tinamou,costaricensis
Crypturellus parvirostris,Tinamiformes,Tinamidae,Tinamous,Small-billed Tinamou,costaricensis
Crypturellus casiquiare,Tinamiformes,Tinamidae,Tinamous,Barred Tinamou,costaricensis
Crypturellus tataupa,Tinamiformes,Tinamidae,Tinamous,Tataupa Tinamou,costaricensis
Crypturellus tataupa,Tinamiformes,Tinamidae,Tinamous,Tataupa Tinamou,inops
Crypturellus tataupa,Tinamiformes,Tinamidae,Tinamous,Tataupa Tinamou,lepidotus
Crypturellus tataupa,Tinamiformes,Tinamidae,Tinamous,Tataupa Tinamou,peruvianus
Crypturellus tataupa,Tinamiformes,Tinamidae,Tinamous,Tataupa Tinamou,tataupa
Rhynchotus tataupa,Tinamiformes,Tinamidae,Tinamous,Tataupa Tinamou,tataupa
Rhynchotus rufescens,Tinamiformes,Tinamidae,Tinamous,Red-winged Tinamou,tataupa
Rhynchotus rufescens,Tinamiformes,Tinamidae,Tinamous,Red-winged Tinamou,catingae
Rhynchotus rufescens,Tinamiformes,Tinamidae,Tinamous,Red-winged Tinamou,pallescens
Rhynchotus rufescens,Tinamiformes,Tinamidae,Tinamous,Red-winged Tinamou,rufescens
Rhynchotus maculicollis,Tinamiformes,Tinamidae,Tinamous,Huayco Tinamou,rufescens
Nothoprocta maculicollis,Tinamiformes,Tinamidae,Tinamous,Huayco Tinamou,rufescens
Nothoprocta taczanowskii,Tinamiformes,Tinamidae,Tinamous,Taczanowski's Tinamou,rufescens
Nothoprocta ornata,Tinamiformes,Tinamidae,Tinamous,Ornate Tinamou,rufescens
Nothoprocta ornata,Tinamiformes,Tinamidae,Tinamous,Ornate Tinamou,branickii
Nothoprocta ornata,Tinamiformes,Tinamidae,Tinamous,Ornate Tinamou,ornata
Nothoprocta ornata,Tinamiformes,Tinamidae,Tinamous,Ornate Tinamou,rostrata
Nothoprocta perdicaria,Tinamiformes,Tinamidae,Tinamous,Chilean Tinamou,rostrata
Nothoprocta perdicaria,Tinamiformes,Tinamidae,Tinamous,Chilean Tinamou,perdicaria
Nothoprocta perdicaria,Tinamiformes,Tinamidae,Tinamous,Chilean Tinamou,sanborni
Nothoprocta cinerascens,Tinamiformes,Tinamidae,Tinamous,Brushland Tinamou,sanborni
Nothoprocta cinerascens,Tinamiformes,Tinamidae,Tinamous,Brushland Tinamou,cinerascens
Nothoprocta cinerascens,Tinamiformes,Tinamidae,Tinamous,Brushland Tinamou,parvimaculata
Nothoprocta pentlandii,Tinamiformes,Tinamidae,Tinamous,Andean Tinamou,parvimaculata
Nothoprocta pentlandii,Tinamiformes,Tinamidae,Tinamous,Andean Tinamou,ambigua
Nothoprocta pentlandii,Tinamiformes,Tinamidae,Tinamous,Andean Tinamou,niethammeri
Nothoprocta pentlandii,Tinamiformes,Tinamidae,Tinamous,Andean Tinamou,oustaleti
Nothoprocta pentlandii,Tinamiformes,Tinamidae,Tinamous,Andean Tinamou,fulvescens
Nothoprocta pentlandii,Tinamiformes,Tinamidae,Tinamous,Andean Tinamou,pentlandii
Nothoprocta pentlandii,Tinamiformes,Tinamidae,Tinamous,Andean Tinamou,patriciae
Nothoprocta pentlandii,Tinamiformes,Tinamidae,Tinamous,Andean Tinamou,mendozae
Nothoprocta pentlandii,Tinamiformes,Tinamidae,Tinamous,Andean Tinamou,doeringi
Nothoprocta curvirostris,Tinamiformes,Tinamidae,Tinamous,Curve-billed Tinamou,doeringi
Nothoprocta curvirostris,Tinamiformes,Tinamidae,Tinamous,Curve-billed Tinamou,curvirostris
Nothoprocta curvirostris,Tinamiformes,Tinamidae,Tinamous,Curve-billed Tinamou,peruviana
Nothura curvirostris,Tinamiformes,Tinamidae,Tinamous,Curve-billed Tinamou,peruviana
Nothura boraquira,Tinamiformes,Tinamidae,Tinamous,White-bellied Nothura,peruviana
Nothura minor,Tinamiformes,Tinamidae,Tinamous,Lesser Nothura,peruviana
Nothura darwinii,Tinamiformes,Tinamidae,Tinamous,Darwin's Nothura,peruviana
Nothura darwinii,Tinamiformes,Tinamidae,Tinamous,Darwin's Nothura,peruviana
Nothura darwinii,Tinamiformes,Tinamidae,Tinamous,Darwin's Nothura,agassizii
Nothura darwinii,Tinamiformes,Tinamidae,Tinamous,Darwin's Nothura,boliviana
Nothura darwinii,Tinamiformes,Tinamidae,Tinamous,Darwin's Nothura,salvadorii
Nothura darwinii,Tinamiformes,Tinamidae,Tinamous,Darwin's Nothura,darwinii
Nothura maculosa,Tinamiformes,Tinamidae,Tinamous,Spotted Nothura,darwinii
Nothura maculosa,Tinamiformes,Tinamidae,Tinamous,Spotted Nothura,cearensis
Nothura maculosa,Tinamiformes,Tinamidae,Tinamous,Spotted Nothura,major
Nothura maculosa,Tinamiformes,Tinamidae,Tinamous,Spotted Nothura,paludivaga
Nothura maculosa,Tinamiformes,Tinamidae,Tinamous,Spotted Nothura,maculosa
Nothura maculosa,Tinamiformes,Tinamidae,Tinamous,Spotted Nothura,pallida
Nothura maculosa,Tinamiformes,Tinamidae,Tinamous,Spotted Nothura,annectens
Nothura maculosa,Tinamiformes,Tinamidae,Tinamous,Spotted Nothura,submontana
Nothura maculosa,Tinamiformes,Tinamidae,Tinamous,Spotted Nothura,nigroguttata
Nothura maculosa,Tinamiformes,Tinamidae,Tinamous,Spotted Nothura,chacoensis
Taoniscus maculosa,Tinamiformes,Tinamidae,Tinamous,Spotted Nothura,chacoensis
Taoniscus nanus,Tinamiformes,Tinamidae,Tinamous,Dwarf Tinamou,chacoensis
Eudromia nanus,Tinamiformes,Tinamidae,Tinamous,Dwarf Tinamou,chacoensis
Eudromia elegans,Tinamiformes,Tinamidae,Tinamous,Elegant Crested Tinamou,chacoensis
Eudromia elegans,Tinamiformes,Tinamidae,Tinamous,Elegant Crested Tinamou,intermedia
Eudromia elegans,Tinamiformes,Tinamidae,Tinamous,Elegant Crested Tinamou,magnistriata
Eudromia elegans,Tinamiformes,Tinamidae,Tinamous,Elegant Crested Tinamou,riojana
Eudromia elegans,Tinamiformes,Tinamidae,Tinamous,Elegant Crested Tinamou,albida
Eudromia elegans,Tinamiformes,Tinamidae,Tinamous,Elegant Crested Tinamou,wetmorei
Eudromia elegans,Tinamiformes,Tinamidae,Tinamous,Elegant Crested Tinamou,numida
Eudromia elegans,Tinamiformes,Tinamidae,Tinamous,Elegant Crested Tinamou,elegans
Eudromia elegans,Tinamiformes,Tinamidae,Tinamous,Elegant Crested Tinamou,multiguttata
Eudromia elegans,Tinamiformes,Tinamidae,Tinamous,Elegant Crested Tinamou,devia
Eudromia elegans,Tinamiformes,Tinamidae,Tinamous,Elegant Crested Tinamou,patagonica
Eudromia formosa,Tinamiformes,Tinamidae,Tinamous,Quebracho Crested Tinamou,patagonica
Eudromia formosa,Tinamiformes,Tinamidae,Tinamous,Quebracho Crested Tinamou,formosa
Eudromia formosa,Tinamiformes,Tinamidae,Tinamous,Quebracho Crested Tinamou,mira
Tinamotis formosa,Tinamiformes,Tinamidae,Tinamous,Quebracho Crested Tinamou,mira
Tinamotis pentlandii,Tinamiformes,Tinamidae,Tinamous,Puna Tinamou,mira
Tinamotis ingoufi,Tinamiformes,Tinamidae,Tinamous,Patagonian Tinamou,mira
Tinamotis ingoufi,Tinamiformes,Tinamidae,FLYING BIRDS,Patagonian Tinamou,mira
Tinamotis ingoufi,Tinamiformes,Tinamidae,WATERFOWL & LANDFOWL,Patagonian Tinamou,mira
Tinamotis ingoufi,Anseriformes,Tinamidae,WATERFOWL & LANDFOWL,Patagonian Tinamou,mira
Tinamotis ingoufi,Anseriformes,Anhimidae,Screamers,Patagonian Tinamou,mira
Anhima ingoufi,Anseriformes,Anhimidae,Screamers,Patagonian Tinamou,mira
Anhima cornuta,Anseriformes,Anhimidae,Screamers,Horned Screamer,mira
Chauna cornuta,Anseriformes,Anhimidae,Screamers,Horned Screamer,mira
Chauna chavaria,Anseriformes,Anhimidae,Screamers,Northern Screamer,mira
Chauna torquata,Anseriformes,Anhimidae,Screamers,Southern Screamer,mira
Chauna torquata,Anseriformes,Anseranatidae,Magpie Goose,Southern Screamer,mira
Anseranas torquata,Anseriformes,Anseranatidae,Magpie Goose,Southern Screamer,mira
Anseranas semipalmata,Anseriformes,Anseranatidae,Magpie Goose,Magpie Goose,mira
Anseranas semipalmata,Anseriformes,Anatidae,"Ducks, Geese, Swans",Magpie Goose,mira
Dendrocygna semipalmata,Anseriformes,Anatidae,"Ducks, Geese, Swans",Magpie Goose,mira
Dendrocygna viduata,Anseriformes,Anatidae,"Ducks, Geese, Swans",White-faced Whistling Duck,mira
Dendrocygna autumnalis,Anseriformes,Anatidae,"Ducks, Geese, Swans",Black-bellied Whistling Duck,mira
Dendrocygna autumnalis,Anseriformes,Anatidae,"Ducks, Geese, Swans",Black-bellied Whistling Duck,fulgens
Dendrocygna autumnalis,Anseriformes,Anatidae,"Ducks, Geese, Swans",Black-bellied Whistling Duck,autumnalis
Dendrocygna guttata,Anseriformes,Anatidae,"Ducks, Geese, Swans",Spotted Whistling Duck,autumnalis
Dendrocygna arborea,Anseriformes,Anatidae,"Ducks, Geese, Swans",West Indian Whistling Duck,autumnalis
Dendrocygna bicolor,Anseriformes,Anatidae,"Ducks, Geese, Swans",Fulvous Whistling Duck,autumnalis
Dendrocygna eytoni,Anseriformes,Anatidae,"Ducks, Geese, Swans",Plumed Whistling Duck,autumnalis
Dendrocygna arcuata,Anseriformes,Anatidae,"Ducks, Geese, Swans",Wandering Whistling Duck,autumnalis
Dendrocygna arcuata,Anseriformes,Anatidae,"Ducks, Geese, Swans",Wandering Whistling Duck,arcuata
Dendrocygna arcuata,Anseriformes,Anatidae,"Ducks, Geese, Swans",Wandering Whistling Duck,pygmaea
Dendrocygna arcuata,Anseriformes,Anatidae,"Ducks, Geese, Swans",Wandering Whistling Duck,australis
Dendrocygna javanica,Anseriformes,Anatidae,"Ducks, Geese, Swans",Lesser Whistling Duck,australis
Thalassornis javanica,Anseriformes,Anatidae,"Ducks, Geese, Swans",Lesser Whistling Duck,australis
Thalassornis leuconotus,Anseriformes,Anatidae,"Ducks, Geese, Swans",White-backed Duck,australis
Thalassornis leuconotus,Anseriformes,Anatidae,"Ducks, Geese, Swans",White-backed Duck,leuconotus
Thalassornis leuconotus,Anseriformes,Anatidae,"Ducks, Geese, Swans",White-backed Duck,insularis
Cereopsis leuconotus,Anseriformes,Anatidae,"Ducks, Geese, Swans",White-backed Duck,insularis
Cereopsis novaehollandiae,Anseriformes,Anatidae,"Ducks, Geese, Swans",Cape Barren Goose,insularis
Cereopsis novaehollandiae,Anseriformes,Anatidae,"Ducks, Geese, Swans",Cape Barren Goose,novaehollandiae
Cereopsis novaehollandiae,Anseriformes,Anatidae,"Ducks, Geese, Swans",Cape Barren Goose,grisea
Branta novaehollandiae,Anseriformes,Anatidae,"Ducks, Geese, Swans",Cape Barren Goose,grisea
Branta bernicla,Anseriformes,Anatidae,"Ducks, Geese, Swans",Brant Goose,grisea
Branta bernicla,Anseriformes,Anatidae,"Ducks, Geese, Swans",Brant Goose,nigricans
Branta bernicla,Anseriformes,Anatidae,"Ducks, Geese, Swans",Brant Goose,bernicla
Branta bernicla,Anseriformes,Anatidae,"Ducks, Geese, Swans",Brant Goose,hrota
Branta ruficollis,Anseriformes,Anatidae,"Ducks, Geese, Swans",Red-breasted Goose,hrota
Branta sandvicensis,Anseriformes,Anatidae,"Ducks, Geese, Swans",Nene,hrota
Branta canadensis,Anseriformes,Anatidae,"Ducks, Geese, Swans",Canada Goose,hrota
Branta canadensis,Anseriformes,Anatidae,"Ducks, Geese, Swans",Canada Goose,occidentalis
Branta canadensis,Anseriformes,Anatidae,"Ducks, Geese, Swans",Canada Goose,fulva
Branta canadensis,Anseriformes,Anatidae,"Ducks, Geese, Swans",Canada Goose,maxima
Branta canadensis,Anseriformes,Anatidae,"Ducks, Geese, Swans",Canada Goose,parvipes
Branta canadensis,Anseriformes,Anatidae,"Ducks, Geese, Swans",Canada Goose,moffitti
Branta canadensis,Anseriformes,Anatidae,"Ducks, Geese, Swans",Canada Goose,interior
Branta canadensis,Anseriformes,Anatidae,"Ducks, Geese, Swans",Canada Goose,canadensis
Branta leucopsis,Anseriformes,Anatidae,"Ducks, Geese, Swans",Barnacle Goose,canadensis
Branta hutchinsii,Anseriformes,Anatidae,"Ducks, Geese, Swans",Cackling Goose,canadensis
Branta hutchinsii,Anseriformes,Anatidae,"Ducks, Geese, Swans",Cackling Goose,leucopareia
Branta hutchinsii,Anseriformes,Anatidae,"Ducks, Geese, Swans",Cackling Goose,minima
Branta hutchinsii,Anseriformes,Anatidae,"Ducks, Geese, Swans",Cackling Goose,taverneri
Branta hutchinsii,Anseriformes,Anatidae,"Ducks, Geese, Swans",Cackling Goose,hutchinsii
Anser hutchinsii,Anseriformes,Anatidae,"Ducks, Geese, Swans",Cackling Goose,hutchinsii
Anser indicus,Anseriformes,Anatidae,"Ducks, Geese, Swans",Bar-headed Goose,hutchinsii
Anser canagicus,Anseriformes,Anatidae,"Ducks, Geese, Swans",Emperor Goose,hutchinsii
Anser rossii,Anseriformes,Anatidae,"Ducks, Geese, Swans",Ross's Goose,hutchinsii
Anser caerulescens,Anseriformes,Anatidae,"Ducks, Geese, Swans",Snow Goose,hutchinsii
Anser caerulescens,Anseriformes,Anatidae,"Ducks, Geese, Swans",Snow Goose,caerulescens
Anser caerulescens,Anseriformes,Anatidae,"Ducks, Geese, Swans",Snow Goose,atlanticus
Anser anser,Anseriformes,Anatidae,"Ducks, Geese, Swans",Greylag Goose,atlanticus
Anser anser,Anseriformes,Anatidae,"Ducks, Geese, Swans",Greylag Goose,anser
Anser anser,Anseriformes,Anatidae,"Ducks, Geese, Swans",Greylag Goose,rubrirostris
