latin_species,n
Archilochus colubris,4
Ardea (Egrett) sacra,1
Ardea (Egretta) garzetta,1
Ardea alba,8
Ardea cinera,1
Ardea cinerea,11
Ardea garzetta,1
Ardea herodias,3
Ardea ibis,2
Ardea intermedia,2
Ardea novaehollandiae,2
Ardea pacifica,2
Ardea picata,2
Ardea purpurea,3
Ardea sacra,1
Ardea sumatrana,2
Ardena carneipes,1
Ardena grisea,1
Ardenna bulleri,1
Ardenna creatopus,1
Ardenna gravis,1
Ardenna pacifica,1
Ardenna tenuirostris,1
Ardeola ralloides,1
Ardeola striatus,1
Ardeotis australis,1
Ardeotis kori,1
Ardeotis koris,1
Arenaria interpres,12
Arenaria melanocephala,3
Arremon aurantiirostris,1
Arremonops chloronotus,1
Arremonops rufivirgatus,4
Arses kaupi,2
Arses lorealis,1
Arses telescophthalmus,1
Artamus cinereus,2
Artamus cyanopterus,2
Artamus leucorhynchus,1
Artamus leucorynchus,1
Artamus minor,2
Artamus personatus,2
Artamus superciliosus,2
Artemisiospiza belli,3
Artemisiospiza nevadensis,3
Ashbyia lovensis,2
Asio capensis,1
Asio flammeus,10
Asio otus,9
Asio stygius,1
Aspatha gularis,1
Athene cunicularia,3
Athene noctua,7
Atlapetes brunneinucha,1
Atlapetes pileatus,1
Atrichornis clamosus,1
Atrichornis rufescens,2
Attila spadiceus,1
Aulacorhynchus prasinus,1
Auriparus flaviceps,2
Automolus ochrolaemus,1
Automolus rubiginosus,1
Avicdea subcristata,1
Aviceda subcristata,1
Aythya affinis,4
Aythya americana,4
Aythya australis,2
Aythya collaris,4
Aythya ferina,9
Aythya fuligula,10
Aythya marila,7
Aythya nyroca,1
Aythya valisineria,4
Babax lanceolatus,1
Baeolophus atricristatus,3
Baeolophus bicolor,3
Baeolophus inornatus,3
Baeolophus ridgwayi,2
Baeolophus rigwayi,1
Baeolophus wollweberi,3
Barnardius barnardi,1
Barnardius zonarius,1
Barnardius zonarius barnardi,1
Barnardius zonarius macgillivrayi,1
Barnardius zonarius semitorquatus,1
Barnardius zonarius zonarius,1
Bartramia longicauda,6
Basileuterus belli,1
Basileuterus culcivorus,1
Basileuterus culicivorus,2
Basileuterus delatrii,1
Basileuterus lachrymosus,1
Basileuterus rufifrons,2
Basileuterus rusifrons,1
Batis molitor,1
Biziura lobata,1
Bolborhynchus lineola,1
Bombycilla cedrorum,4
Bombycilla garrulus,10
Bonasa bonasia,1
Bonasa umbellus,3
Bostrychia hagedash,1
